DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2021-04-15,2021-04-29,31950.2,32294.6,31450.0,32206.95,32255.0,32206.95,6201100,25,197906016692.5,1891775.0,209850.0,BANKNIFTY,FUTIDX,2021,,
2021-04-13,2021-04-29,31002.05,32019.9,30779.15,31865.6,31840.0,31865.6,5750325,25,180930252963.75,1681925.0,-133175.0,BANKNIFTY,FUTIDX,2021,,
2021-04-12,2021-04-29,31821.0,31900.0,30610.0,30869.25,30954.9,30869.25,6190025,25,192152786360.0,1815100.0,83225.0,BANKNIFTY,FUTIDX,2021,,
2021-04-09,2021-04-29,32312.0,33174.0,32251.25,32617.55,32615.1,32617.55,4428350,25,145235532733.75,1731875.0,25075.0,BANKNIFTY,FUTIDX,2021,,
2021-04-08,2021-04-29,33331.0,33489.95,32851.5,32945.7,32943.3,32945.7,4608275,25,153059240118.75,1706800.0,-78200.0,BANKNIFTY,FUTIDX,2021,,
2021-04-07,2021-04-29,32560.35,33370.0,32298.3,33151.4,33131.05,33151.4,5776450,25,190725462133.75,1785000.0,-148050.0,BANKNIFTY,FUTIDX,2021,,
2021-04-07,2021-04-29,32560.35,33370.0,32298.3,33151.4,33131.05,33151.4,5776450,25,190725462133.75,1785000.0,-148050.0,BANKNIFTY,FUTIDX,2021,,
2021-04-06,2021-04-29,33021.0,33175.0,32461.65,32691.55,32716.95,32691.55,4739325,25,155546063622.5,1933050.0,-88375.0,BANKNIFTY,FUTIDX,2021,,
2021-04-05,2021-04-29,33925.0,33999.0,32412.0,32817.15,32840.7,32817.15,6005225,25,197701931952.5,2021425.0,-28050.0,BANKNIFTY,FUTIDX,2021,,
2021-04-01,2021-04-29,33693.0,34250.0,33390.05,34155.2,34179.7,34155.2,5215650,25,176087586946.25,2049475.0,-350550.0,BANKNIFTY,FUTIDX,2021,,
2021-03-31,2021-04-29,33939.65,33945.85,33266.3,33478.45,33533.8,33478.45,4588375,25,153796148501.25,2400025.0,89500.0,BANKNIFTY,FUTIDX,2021,,
2021-03-30,2021-04-29,33915.2,34180.0,33693.6,34046.8,34080.0,34046.8,4614800,25,156790552597.5,2310525.0,159825.0,BANKNIFTY,FUTIDX,2021,,
2021-03-30,2021-04-29,33915.2,34180.0,33693.6,34046.8,34080.0,34046.8,4614800,25,156790552597.5,2310525.0,159825.0,BANKNIFTY,FUTIDX,2021,,
2021-05-27,2021-05-27,34605.6,35110.3,34522.05,35053.5,35095.0,35095.05,3402700,25,118454801675.0,421825.0,-552900.0,BANKNIFTY,FUTIDX,2021,,
2021-05-27,2021-05-27,34605.6,35110.3,34522.05,35053.5,35095.0,35095.05,3402700,25,118454801675.0,421825.0,-552900.0,BANKNIFTY,FUTIDX,2021,,
2021-05-26,2021-05-27,34810.0,34989.9,34502.15,34723.95,34699.9,34723.95,3763150,25,130919983990.0,974725.0,-359900.0,BANKNIFTY,FUTIDX,2021,,
2021-05-25,2021-05-27,35149.0,35193.95,34434.0,34758.05,34810.0,34758.05,3978375,25,138176136936.25,1334625.0,-135300.0,BANKNIFTY,FUTIDX,2021,,
2021-05-24,2021-05-27,34900.0,35348.0,34556.0,34998.1,34893.2,34998.1,4370875,25,152739159832.5,1469925.0,-216350.0,BANKNIFTY,FUTIDX,2021,,
2021-05-21,2021-05-27,33600.15,34855.0,33589.9,34763.15,34850.0,34763.15,5161175,25,176797702856.25,1686275.0,271425.0,BANKNIFTY,FUTIDX,2021,,
2021-05-21,2021-05-27,33600.15,34855.0,33589.9,34763.15,34850.0,34763.15,5161175,25,176797702856.25,1686275.0,271425.0,BANKNIFTY,FUTIDX,2021,,
