symbol,prev_close,open,high,low,close,settlement,net_change,open_interest,volume,trades,underlying_price,notional_value,premium_traded,underlying,expiry,strike,option_type,spread_bps,return,moneyness,days_to_expiry,implied_volatility,date,bid_ask_spread,relative_spread_bps,effective_spread,realized_spread
OPTSTKNYKAA28-AUG-2025PE215,0.05,0.05,0.05,0.05,0.05,0.05,0.0,201.0,50000.0,16.0,231.65,10752500.0,2500.0,NYKAA28,AUG,2025215.0,PE,0.0,0.0,0.00011438291736926697,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE212.5,0.05,0.05,0.05,0.05,0.05,0.0,0.05,62.0,9375.0,3.0,231.65,1992656.25,468.75,NYKAA28,AUG,2025212.5,PE,0.0,0.0,0.00011438305856792806,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE200,0.0,0.05,0.05,0.05,0.05,0.0,0.0,237.0,9375.0,3.0,231.65,1875468.75,468.75,NYKAA28,AUG,2025200.0,PE,0.0,inf,0.00011438376456646257,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025CE250,0.05,0.05,0.05,0.05,0.05,0.05,0.0,78.0,171875.0,55.0,231.65,42977343.75,8593.75,NYKAA28,AUG,2025250.0,CE,0.0,0.0,0.00011438094062461425,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE217.5,0.05,0.05,0.05,0.05,0.05,0.05,0.0,94.0,21875.0,7.0,231.65,4758906.25,1093.75,NYKAA28,AUG,2025217.5,PE,0.0,0.0,0.00011438277617095448,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE175,0.0,0.05,0.05,0.05,0.05,0.0,0.0,10.0,6250.0,2.0,231.65,1094062.5,312.5,NYKAA28,AUG,2025175.0,PE,0.0,inf,0.00011438517658967743,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE207.5,0.0,0.05,0.05,0.05,0.05,0.0,0.0,96.0,3125.0,1.0,231.65,648593.75,156.25,NYKAA28,AUG,2025207.5,PE,0.0,inf,0.00011438334096629604,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE242.5,12.65,13.0,13.0,13.0,13.0,10.95,1.7,15.0,3125.0,1.0,231.65,798437.5,40625.0,NYKAA28,AUG,2025242.5,PE,0.0,0.027667984189723292,0.00011438136420700237,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE205,0.0,0.05,0.05,0.05,0.05,0.05,0.05,120.0,6250.0,2.0,231.65,1281562.5,312.5,NYKAA28,AUG,2025205.0,PE,0.0,inf,0.00011438348216600294,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE185,0.0,0.05,0.05,0.05,0.05,0.0,0.0,16.0,6250.0,2.0,231.65,1156562.5,312.5,NYKAA28,AUG,2025185.0,PE,0.0,inf,0.0001143846117762081,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKNYKAA28-AUG-2025PE210,0.05,0.05,0.05,0.05,0.05,0.05,0.0,215.0,31250.0,10.0,231.65,6564062.5,1562.5,NYKAA28,AUG,2025210.0,PE,0.0,0.0,0.00011438319976693775,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025CE315,0.0,0.05,0.05,0.05,0.05,0.05,0.05,113.0,1900.0,1.0,279.9,598595.0,95.0,POWERGRID28,AUG,2025315.0,CE,0.0,inf,0.00013820072433177061,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025PE260,0.0,0.05,0.05,0.05,0.05,0.05,0.05,315.0,5700.0,3.0,279.9,1482285.0,285.0,POWERGRID28,AUG,2025260.0,PE,0.0,inf,0.0001382044774498089,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025CE305,0.05,0.05,0.05,0.05,0.05,0.0,0.05,431.0,87400.0,46.0,279.9,26661370.0,4370.0,POWERGRID28,AUG,2025305.0,CE,0.0,0.0,0.00013820140670170664,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-OCT-2025CE310,6.35,2.35,2.35,2.35,2.35,5.1,1.25,17.0,3800.0,2.0,279.9,1186930.0,8930.0,POWERGRID28,OCT,2025310.0,CE,0.0,-0.6299212598425197,0.00013820106551589632,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID30-SEP-2025PE315,31.3,32.15,32.15,32.15,32.15,34.9,3.6,2.0,1900.0,1.0,279.9,659585.0,61085.0,POWERGRID30,SEP,2025315.0,PE,0.0,0.027156549520766706,0.00013820072433177061,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025CE260,24.3,21.9,21.9,21.9,21.9,20.0,4.3,17.0,3800.0,2.0,279.9,1071220.0,83220.0,POWERGRID28,AUG,2025260.0,CE,0.0,-0.09876543209876552,0.0001382044774498089,,,2025-08-27,0.0,0.0,0.0,0.0
