DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2023-06-27,2023-06-29,43769.25,44155.0,43701.0,44089.45,44129.95,44089.45,2461450,25,108013475870.0,1419500.0,-286075.0,BANKNIFTY,FUTIDX,2023,,
2023-06-26,2023-06-29,43313.3,43770.0,43313.3,43686.95,43695.85,43686.95,1667975,25,72817301191.25,1705575.0,-369300.0,BANKNIFTY,FUTIDX,2023,,
2023-06-23,2023-06-29,43710.0,43850.0,43563.1,43671.65,43680.0,43671.65,2148300,25,93889178970.0,2074875.0,21175.0,BANKNIFTY,FUTIDX,2023,,
2023-06-22,2023-06-29,43944.9,44082.1,43713.55,43774.0,43775.0,43774.0,3246600,25,142517581365.0,2053700.0,-212225.0,BANKNIFTY,FUTIDX,2023,,
2023-06-21,2023-06-29,43900.5,44026.7,43775.0,43940.05,43945.9,43940.05,2545750,25,111781228267.5,2265925.0,-39275.0,BANKNIFTY,FUTIDX,2023,,
2023-06-20,2023-06-29,43750.0,43914.95,43450.05,43864.75,43879.95,43864.75,2754775,25,120292327535.0,2305200.0,24625.0,BANKNIFTY,FUTIDX,2023,,
2023-06-19,2023-06-29,44086.1,44124.4,43625.25,43788.1,43801.0,43788.1,2631650,25,115311946948.75,2280575.0,-33925.0,BANKNIFTY,FUTIDX,2023,,
2023-06-16,2023-06-29,43657.05,44234.9,43600.0,44042.6,44023.85,44042.6,2882900,25,126615670328.75,2314500.0,-169725.0,BANKNIFTY,FUTIDX,2023,,
2023-06-15,2023-06-29,44150.0,44180.0,43526.0,43570.05,43571.0,43570.05,3269075,25,143185056971.25,2484225.0,60375.0,BANKNIFTY,FUTIDX,2023,,
2023-06-14,2023-06-29,44310.1,44310.1,44055.0,44144.2,44132.0,44144.2,1525175,25,67339051143.75,2423850.0,-50575.0,BANKNIFTY,FUTIDX,2023,,
2023-06-13,2023-06-29,44050.0,44247.0,44048.0,44216.65,44230.0,44216.65,2555700,25,112943252037.5,2474425.0,20675.0,BANKNIFTY,FUTIDX,2023,,
2023-06-12,2023-06-29,44160.0,44174.55,43991.6,44097.55,44096.0,44097.55,1698450,25,74873941118.75,2453750.0,79975.0,BANKNIFTY,FUTIDX,2023,,
2023-06-09,2023-06-29,44178.15,44325.9,44042.4,44117.95,44110.1,44117.95,2145750,25,94809859855.0,2373775.0,-23475.0,BANKNIFTY,FUTIDX,2023,,
2023-06-08,2023-06-29,44399.0,44545.5,44069.7,44147.4,44163.65,44147.4,3093950,25,137206031132.5,2397250.0,65225.0,BANKNIFTY,FUTIDX,2023,,
2023-06-07,2023-06-29,44400.0,44424.8,44300.0,44394.4,44389.6,44394.4,1594650,25,70754847500.0,2332025.0,32000.0,BANKNIFTY,FUTIDX,2023,,
2023-06-06,2023-06-29,44282.0,44349.95,44149.95,44309.05,44326.0,44309.05,1711550,25,75723005007.5,2300025.0,-3250.0,BANKNIFTY,FUTIDX,2023,,
2023-06-05,2023-06-29,44242.0,44411.0,44202.7,44286.15,44282.0,44286.15,1886025,25,83617313148.75,2303275.0,80175.0,BANKNIFTY,FUTIDX,2023,,
2023-06-02,2023-06-29,44115.0,44271.45,43950.0,44110.6,44074.95,44110.6,2587275,25,114138297701.25,2223100.0,47600.0,BANKNIFTY,FUTIDX,2023,,
2023-06-01,2023-06-29,44226.0,44290.0,43861.0,43948.25,43984.4,43948.25,2342375,25,103301067223.75,2175500.0,71300.0,BANKNIFTY,FUTIDX,2023,,
2023-05-31,2023-06-29,44377.7,44425.0,43986.25,44241.65,44246.35,44241.65,3112275,25,137476918463.75,2104200.0,-9625.0,BANKNIFTY,FUTIDX,2023,,
2023-05-30,2023-06-29,44325.0,44496.5,44280.1,44466.35,44496.4,44466.35,1630875,25,72398158575.0,2113825.0,36875.0,BANKNIFTY,FUTIDX,2023,,
2023-07-27,2023-07-27,46201.05,46500.0,45541.65,45654.75,45676.25,45679.3,3053415,15,140092445376.75,604725.0,-543540.0,BANKNIFTY,FUTIDX,2023,,
