DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE
2025-01-14,2025-01-30,48424.0,49250.0,48351.1,48971.05,49105.0,48971.05,1777635,15,86855200497.0,2399970.0,-93900.0,BANKNIFTY,FUTIDX
2025-01-13,2025-01-30,48430.0,48822.0,48102.0,48266.25,48242.4,48266.25,1926330,15,93306198691.5,2493870.0,-70695.0,BANKNIFTY,FUTIDX
2025-01-10,2025-01-30,49421.6,49716.05,48789.0,48886.4,48886.65,48886.4,2136780,15,105157267431.0,2564565.0,145065.0,BANKNIFTY,FUTIDX
2025-01-09,2025-01-30,49960.3,50018.6,49455.55,49787.25,49797.25,49787.25,1377900,15,68491907141.25,2419500.0,68700.0,BANKNIFTY,FUTIDX
2025-01-08,2025-01-30,50389.8,50462.0,49625.0,50095.4,50100.0,50095.4,1865415,15,93309517011.0,2350800.0,55275.0,BANKNIFTY,FUTIDX
2025-01-07,2025-01-30,50150.0,50720.0,50150.0,50415.3,50395.5,50415.3,1389975,15,70177065888.0,2295525.0,-146085.0,BANKNIFTY,FUTIDX
2025-01-06,2025-01-30,51184.9,51286.75,50000.0,50163.1,50150.5,50163.1,2298105,15,116173683835.5,2441610.0,64905.0,BANKNIFTY,FUTIDX
2025-01-03,2025-01-30,51825.45,51928.75,51158.75,51259.2,51246.0,51259.2,1713840,15,88198013525.25,2376705.0,116910.0,BANKNIFTY,FUTIDX
2025-01-02,2025-01-30,51439.95,51938.0,51329.95,51860.2,51875.75,51860.2,1425000,15,73626407797.5,2259795.0,2259795.0,BANKNIFTY,FUTIDX
2025-02-27,2025-02-27,48749.95,48984.65,48730.0,48785.5,48741.0,48743.8,1652070,30,80757202419.0,777840.0,-1079310.0,BANKNIFTY,FUTIDX
2025-02-25,2025-02-27,48806.85,48917.75,48635.0,48723.45,48676.3,48723.45,1109220,30,54060899500.5,1857150.0,-415590.0,BANKNIFTY,FUTIDX
2025-02-24,2025-02-27,48644.7,48913.95,48305.45,48793.9,48792.0,48793.9,1566780,30,76205755848.0,2272740.0,-646320.0,BANKNIFTY,FUTIDX
2025-02-21,2025-02-27,49299.95,49387.9,48852.0,49031.4,48980.0,49031.4,1719690,30,84353747040.0,2919060.0,-88080.0,BANKNIFTY,FUTIDX
2025-02-20,2025-02-27,49444.7,49563.2,49300.0,49473.3,49425.25,49473.3,949470,30,46940053585.5,3007140.0,-4620.0,BANKNIFTY,FUTIDX
2025-02-19,2025-02-27,49099.7,49750.0,48930.05,49630.55,49611.0,49630.55,1635450,30,80948139366.0,3011760.0,-90900.0,BANKNIFTY,FUTIDX
2025-02-18,2025-02-27,49460.0,49460.0,48940.8,49208.05,49176.3,49208.05,1280130,30,62922113494.5,3102660.0,28830.0,BANKNIFTY,FUTIDX
2025-02-17,2025-02-27,49179.95,49517.75,48709.0,49462.15,49501.5,49462.15,1640220,30,80569380319.5,3073830.0,-105120.0,BANKNIFTY,FUTIDX
2025-02-14,2025-02-27,49705.3,49767.65,48908.1,49334.55,49288.0,49334.55,1774980,30,87505296696.0,3178950.0,110520.0,BANKNIFTY,FUTIDX
2025-02-13,2025-02-27,49735.0,50025.0,49451.05,49571.4,49530.05,49571.4,1365720,30,67938357907.5,3068430.0,49440.0,BANKNIFTY,FUTIDX
2025-02-12,2025-02-27,49550.0,49930.0,48966.0,49716.5,49735.0,49716.5,2191620,30,108457264006.5,3018990.0,-77010.0,BANKNIFTY,FUTIDX
2025-02-11,2025-02-27,50190.0,50190.0,49425.0,49681.75,49585.0,49681.75,1841100,30,91554707362.5,3096000.0,399300.0,BANKNIFTY,FUTIDX
2025-02-10,2025-02-27,50280.0,50347.0,49902.25,50234.15,50220.0,50234.15,1180200,30,59154231631.5,2696700.0,66390.0,BANKNIFTY,FUTIDX
2025-02-07,2025-02-27,50630.5,50798.7,50070.3,50354.55,50381.0,50354.55,2582010,30,130168978714.5,2630310.0,61170.0,BANKNIFTY,FUTIDX
2025-02-06,2025-02-27,50500.0,50710.05,50351.0,50608.7,50634.0,50608.7,1145940,30,57894227329.5,2569140.0,-59010.0,BANKNIFTY,FUTIDX
