DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,OPTION TYPE,STRIKE PRICE
2024-08-05,2024-08-29,31.0,142.8,20.0,77.0,76.35,77.0,5484200,25,121086196610.0,1628700.0,482675.0,NIFTY,OPTIDX,PE,22000.0
2024-08-02,2024-08-29,9.4,12.25,8.3,11.1,10.45,11.1,612250,25,13475655260.0,1146025.0,-3400.0,NIFTY,OPTIDX,PE,22000.0
2024-08-01,2024-08-29,8.75,9.3,7.35,7.95,7.5,7.95,408575,25,8991941832.5,1149425.0,16675.0,NIFTY,OPTIDX,PE,22000.0
2024-07-31,2024-08-29,6.3,9.4,6.25,9.1,8.5,9.1,318775,25,7015786306.25,1132750.0,-27325.0,NIFTY,OPTIDX,PE,22000.0
2024-07-30,2024-08-29,7.75,8.2,6.8,7.65,7.15,7.65,289375,25,6368437807.5,1160075.0,11350.0,NIFTY,OPTIDX,PE,22000.0
2024-08-29,2024-08-29,2030.05,2209.55,1989.35,2170.75,2155.65,25151.95,170075,25,4268317193.75,224775.0,-13000.0,NIFTY,OPTIDX,CE,23000.0
2024-08-28,2024-08-29,2032.95,2145.0,1986.65,2049.5,2057.9,2049.5,151725,25,3804888678.75,237775.0,-69225.0,NIFTY,OPTIDX,CE,23000.0
2024-08-27,2024-08-29,2051.5,2092.0,1988.0,2020.7,2009.1,2020.7,84350,25,2112964758.75,307000.0,-59175.0,NIFTY,OPTIDX,CE,23000.0
2024-08-26,2024-08-29,1904.7,2088.5,1890.15,2049.35,2046.0,2049.35,45350,25,1134884581.25,366175.0,-16425.0,NIFTY,OPTIDX,CE,23000.0
2024-08-23,2024-08-29,1837.6,1882.6,1791.45,1852.3,1857.5,1852.3,40675,25,1010829686.25,382600.0,-25800.0,NIFTY,OPTIDX,CE,23000.0
2024-08-22,2024-08-29,1850.0,1864.85,1799.65,1844.1,1842.0,1844.1,52250,25,1297704397.5,408400.0,7375.0,NIFTY,OPTIDX,CE,23000.0
2024-08-21,2024-08-29,1712.65,1803.05,1691.0,1797.2,1797.05,1797.2,38000,25,940890941.25,401025.0,-10350.0,NIFTY,OPTIDX,CE,23000.0
2024-08-20,2024-08-29,1645.0,1766.4,1633.35,1713.0,1714.0,1713.0,21175,25,523427890.0,411375.0,-6850.0,NIFTY,OPTIDX,CE,23000.0
2024-08-19,2024-08-29,1665.0,1665.0,1538.0,1601.55,1595.25,1601.55,42850,25,1053827440.0,418225.0,-1625.0,NIFTY,OPTIDX,CE,23000.0
2024-08-16,2024-08-29,1359.95,1609.0,1261.25,1595.0,1601.25,1595.0,71375,25,1744648565.0,419850.0,-17125.0,NIFTY,OPTIDX,CE,23000.0
2024-08-14,2024-08-29,1206.0,1245.8,1161.55,1203.55,1197.3,1203.55,55625,25,1345853913.75,436975.0,-12700.0,NIFTY,OPTIDX,CE,23000.0
2024-08-13,2024-08-29,1380.05,1410.55,1174.4,1200.0,1204.0,1200.0,89550,25,2174259985.0,449675.0,-15400.0,NIFTY,OPTIDX,CE,23000.0
2024-08-12,2024-08-29,1350.05,1553.2,1317.9,1378.1,1390.0,1378.1,74350,25,1819006932.5,465075.0,-15750.0,NIFTY,OPTIDX,CE,23000.0
2024-08-09,2024-08-29,1399.55,1468.2,1358.9,1434.35,1435.0,1434.35,99975,25,2440633848.75,480825.0,-45900.0,NIFTY,OPTIDX,CE,23000.0
2024-08-08,2024-08-29,1375.0,1400.0,1178.05,1201.25,1193.0,1201.25,65325,25,1585044030.0,526725.0,-2800.0,NIFTY,OPTIDX,CE,23000.0
